Time,TimeMS,Clock,Pulse,Pulse_low,Pulse_high,SpO2,SpO2_low,SpO2_high,Respiratory_rate,Respiratory_rate_low,Respiratory_rate_high,BloodPressure_Sys,BloodPressure_Sys_low,BloodPressure_Sys_high,Temp,Temp_low,Temp_high,,,,,,,,,,,,,,,,,,,,,,,,,
00:09:50_000,590000,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.72161,38,,,2.38281,-1.10927,-54.2,,,,0,0
00:09:50_010,590010,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.12,0.74237,38,,,2.38854,-1.06413,-54.4,,,,0,0
00:09:50_020,590020,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.74212,38.1,,,2.37224,-1.01823,-54.5,,,,0,0
00:09:50_030,590030,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.73651,38.1,,,2.34708,-0.9864,-54.7,,,,0,0
00:09:50_040,590040,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.72698,38.1,,,2.33882,-0.93617,-54.9,,,,0,0
00:09:50_050,590050,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.69206,38.1,,,2.34314,-0.90191,-55,,,,0,0
00:09:50_060,590060,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.67473,38.1,,,2.33859,-0.8833,-55.2,,,,0,0
00:09:50_070,590070,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.65788,38.2,,,2.35845,-0.9733,-55.3,,,,0,0
00:09:50_080,590080,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.63199,38.2,,,2.38363,-1.11333,-55.5,,,,0,0
00:09:50_090,590090,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.59438,38.2,,,2.39153,-1.21748,-55.7,,,,0,0
00:09:50_100,590100,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.56557,38.2,,,2.37259,-1.23855,-55.9,,,,0,0
00:09:50_110,590110,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.54628,38.2,,,2.34739,-1.17904,-56.1,,,,0,0
00:09:50_120,590120,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.52723,38.2,,,2.34349,-1.17142,-56.3,,,,0,0
00:09:50_130,590130,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.48987,38.3,,,2.33829,-1.16608,-56.5,,,,0,0
00:09:50_140,590140,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.09,0.47155,38.3,,,2.3131,-1.14677,-56.7,,,,0,0
00:09:50_150,590150,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.09,0.45372,38.3,,,2.29894,-1.03161,-56.9,,,,0,0
00:09:50_160,590160,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.09,0.43858,38.3,,,2.30469,-0.90971,-57,,,,0,0
00:09:50_170,590170,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.4105,38.3,,,2.30469,-0.86322,-57.2,,,,0,0
00:09:50_180,590180,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.39634,38.3,,,2.30469,-0.8243,-57.3,,,,0,0
00:09:50_190,590190,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.38339,38.3,,,2.30469,-0.79391,-57.4,,,,0,0
00:09:50_200,590200,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.37192,38.4,,,2.30469,-0.73936,-57.6,,,,0,0
00:09:50_210,590210,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.08,0.35385,38.4,,,2.30469,-0.70549,-57.7,,,,0,0
00:09:50_220,590220,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.07,0.3475,38.4,,,2.30469,-0.69474,-57.8,,,,0,0
00:09:50_230,590230,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.05,0.34286,38.4,,,2.30832,-0.77896,-57.9,,,,0,0
00:09:50_240,590240,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.02,0.33871,38.4,,,2.30029,-0.844,-58.1,,,,0,0
00:09:50_250,590250,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.01,0.33919,38.4,,,2.27967,-0.78345,-58.2,,,,0,0
